Data,Codigo,Nome,Quantidade,Usuario
09/01/2026, 18:48:48,7908685611371,FONE PULSE AIRBUDS PH419,3,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:46:49,619659181918,PEN DRIVE 64GB SANDISK 3.0,2,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:46:21,SEM GTIN,PEN DRIVE 32GB MULTILASER PD589,4,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:45:43,7899838853604,PEN DRIVE 16GB MULTILASER PD988,8,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:45:18,619659182328,PEN DRIVE 128GB SANDISK 3.0,3,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:43:39,SEM GTIN,.IMPRESSORA EPSON ECOTANK L3250,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:43:17,SEM GTIN,ACESSORIO WI-FI P/ TV PHILIPS,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:42:02,SEM GTIN,NOTEBOOK ACER A315-510P-34XC 256G-8,2,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:38:01,7898506459346,PEN DRIVE 128GB MULTILASER PD591,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:37:08,7908842801614,NOBREAK MULTILASER EN088,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:36:50,7908414485198,NOBREAK MULTILASER EN080,2,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:35:46,7908414400030,MOUSE MULTILASER USB MO307,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:34:15,7899838882345,MOUSE MULTILASER USB MO300,2,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:32:37,7899838815787,MOUSE MULTILASER S/ FIO MO251,7,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:32:07,7898149186098,HEADSET C/ MICROFONE MULTILASER PH002,3,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:31:40,7898506455935,FONTE DE ALIMENTACAO MULTILASER GA500,2,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:31:23,7898506455911,FONTE DE ALIMENTACAO MULTILASER GA350,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:30:32,7908685611371,FONE PULSE AIRBUDS PH419,3,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:30:03,7908685678992,CONEXAO MULTILASER HUB USB AC444,4,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:29:45,7898476327041,CARTUCHO TONER MULTILASER CTO301,4,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:29:26,7898506475001,CARTUCHO TONER MULTILASER CT106,6,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:28:31,7898476327959,CARREG. UNIVERSAL MULTILASER CB007,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:28:05,7898506475711,CARREG. PORTATIL MULTILASER CBO69,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:27:28,7898506475094,CABO CONVERSOR USB MULTILASER WI272,2,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:27:08,7898506457151,ADAPTADOR MULTILASER RE034,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:26:49,7898476325344,ADAPTADOR MULTILASER HUB USB ACO42,1,c80aeb7d-ccf4-4488-97fc-1b35913950f1
09/01/2026, 18:26:25,7899838822013,ADAPTADOR 2 SAIDAS MULTILASER WI331,2,c80aeb7d-ccf4-4488-97fc-1b35913950f1
