INTERNO	DESCRICAO	QUANTIDADE	CODIGO EAN
20679	.BLUSA REG. POWER LIPO MODELADORA	18	SEM GTIN
20515	.CALCA UNIFORME ESCOLAR MA	1	
3199	.CALCA UNIFORME ESCOLAR MI	9	
9730	.CALCA UNIFORME ESCOLAR MJ	12	
17180	.CALCA UNIFORME ESCOLAR PA	4	
3456	.CALCA UNIFORME ESCOLAR PI	2	
2207	.CAMISETA UNIFORME ESCOLAR MA	8	
17199	.CAMISETA UNIFORME ESCOLAR MI	9	
17182	.CAMISETA UNIFORME ESCOLAR MJ	7	
17184	.CAMISETA UNIFORME ESCOLAR PA	8	
22137	.LUVA DOTAD YX1349	4	8202246103169,00
211	.LUVA REDSTAR VSI04001	9	7908161735980,00
16401	.MEIA CALCA FISHNET PANTYHOSE 1753	1	6936773100057,00
22136	.MEIA CALCA INF. DOTAD WZ6067	14	4046504230624,00
16400	.MEIA CALCA INF. LIRS FIO 80 6065	2	4046504230600,00
16399	.MEIA CALCA LI TING FIO 80 1168	10	4760072301240,00
22132	.MEIA CALCA VIVASOL KCA404	14	6931201000275,00
22142	.TOUCA  DOTAD C/ BRILHO LY302	1	6926784220226,00
22139	.TOUCA  DOTAD LISTRADA ZH209	9	6926784751317,00
24937	.TOUCA  RISOVIT C/ BRILHO 410	3	6931426000104,00
16209	.TOUCA BORDADO FORRADA 	3	6926784651099,00
2149	.TOUCA BORDADO POM POM	1	SEM GTIN
4569	.TOUCA CHAVES	5	SEM GTIN
1760	.TOUCA CLASSIC	3	SEM GTIN
18799	.TOUCA DOTAD 5150 PRETA 	20	6926784880307,00
24936	.TOUCA DOTAD HERE MZ 5127	2	6926784220356,00
24935	.TOUCA DOTAD MZ5197	7	6926784210203,00
16208	.TOUCA FORRADA SPORTS 	9	6926784751096,00
1186	.TOUCA NINJA CLASSICA	1	SEM GTIN
22134	.TOUCA VIVASOL 5650 PRETA 	15	6926784880604,00
389	BABY DOLL ISABELA GARCIA 153	2	SEM GTIN
2115	BATA TORPEDO 	1	SEM GTIN
10294	BERMUDA B. AMIL 1613	2	7898671316420,00
9833	BERMUDA B. AMIL 1615	2	7898671319186,00
11962	BERMUDA B. AMIL 1631	5	7908280702689,00
14472	BERMUDA B. AMIL 1633	1	7908280740940,00
11968	BERMUDA B. AMIL 1680	2	7908280721499,00
14485	BERMUDA B. AMIL 1706	1	7908280739388,00
19388	BERMUDA B. AMIL 1746	5	7908280764045,00
19400	BERMUDA B. AMIL 1793	2	7908280791140,00
4518	BERMUDA B. AMIL 727	1	7898570490870,00
9834	BERMUDA B. AMIL 746	2	7898570493918,00
7197	BERMUDA B. AMIL 975	1	7898643630844,00
95	BERMUDA B. AMIL BRAGA 451	1	7898570490450,00
8059	BERMUDA B. AMIL BRAGA 644	2	7898570495141,00
379	BERMUDA B. AMIL COMPANY 768	2	7898570491396,00
4062	BERMUDA B. BIVIK LYCRA 9952, 8387	1	7898944261044,00
4442	BERMUDA B. BIVIK MASC. 00120, 42919016	1	7898944327559,00
9766	BERMUDA B. ELITE 125811, 14171	2	7892888876562,00
7800	BERMUDA B. ELITE 14213	1	7892888460358,00
14505	BERMUDA B. ELITE 14218	1	7892888965853,00
17589	BERMUDA B. LUNENDER 20396	4	7909683817956,00
20201	BERMUDA B. LUNENDER 48922	2	7909878427076,00
20429	BERMUDA B. LUNENDER 48923	8	7909878504340,00
9319	BERMUDA B. LUNENDER 75959	6	7900066876775,00
21473	BERMUDA B. LUNENDER 75960	6	7900066098658,00
23258	BERMUDA B. LUNENDER 78007	1	7900066629463,00
